,type_post,username,name,following_count,follower_count,user_id,post_id,caption,timestamp,date_post,comment_count,like_count,retweet_count,user_likes,video_view,display_url,is_video,link,link.1,Brand,Likes_TW,Keyword/Hashtag,replies_count,Owner ID,source,ID
40585,,_generation_g,Generation_G,852,714,','1763670336141108148,"'Kira-kira, kata apa lagi yang pada umumnya sering salah diucapkan? #GENERATION_G #TheInterns",23-04-18 13:45,,4.0,181.0,,,,,,https://www.instagram.com/p/Bh50NOOlaO0,,GG,,theinterns,,,IG,
40586,,asantihero,GGðŸ¦âºï¸,2621,1026,','1762937538122768342,'#pokemon #generation2 #generation1 #legendarypokemon #pokemonsunandmoon #generation7 #nintendo #generation_g #shinypokemon #generationz #generations #generationx #generationm #generation3 #pokemonx #generationv #pokemonxy #generationt #generation #pokemony #theinterns #generationh #generationen #alola #generationk #pokemonsun #generation4 #generation6 #pokemonmoon #pokemonmaster,22-04-18 13:29,,0.0,28.0,,,,,,https://www.instagram.com/p/Bh3Nlm5Al_W,,GG,,theinterns,,,IG,
40587,,naufaladityah,Naufal Aditya,5056,979,','1761688528868587259,'keluar dari kebiasaanmu. bebaskan langkahmu. lampaui batasanmu. karna kamu #GENERATION_G  #theinterns 2017,20-04-18 20:07,,4.0,108.0,,,,,,https://www.instagram.com/p/BhyxmIYF7b7,,GG,,theinterns,,,IG,
40588,,mizagung,Iskandar Agung,1299,2335,','1761652730760530954,"'sedang melamun, kira-kira gimana keseruan acara SHVR GROUND FESTIVAL tahun ini yang berlangsung di Ancol tanggal 4-5 Mei ini... Pasti acaranya bakal keren, udah banyak lineup yang bagus, dan disana kalian ngga cuman nonton konser doang, tapi bakalan ada booth-booth asik yang harus dicobain! penasaran kaan?? so, GET YOUR TICKETS NOW! ___ Psst, buat kalian para mahasiswa bisa dapetin 2 DAYS GA PASS TICKET dengan harga 375k doang! padahal sekarang ticket yang dijual udah 825k. Penasaran gimana caranya? DM FOR MORE INFO ___ #TheInterns 2017 #GENERATION_G",20-04-18 18:56,,2.0,125.0,,,,,,https://www.instagram.com/p/BhypdMylAwK,,GG,,theinterns,,,IG,
40589,,dhimasputranto_,DhimasPutranto,380,1594,','1761649799478114363,"'- salah satu anak the interns yg namanya samaan, dan ternyata kita juga beda bapak lain ibu lho.. wow amazing kan?!! . . #TheInterns 2017 #GENERATION_G",20-04-18 18:50,,14.0,143.0,,,,,,https://www.instagram.com/p/Bhyoyi0h_g7,,GG,,theinterns,,,IG,
40590,,anfikrip,@&$Â¥Â£â‚¬#%,5784,502,','1761644922779028509,"'Aksesoris dalam fashion itu memang beragam. Gue selalu pilih bawa sling bag dari #Generation_G karena selain warnanya kece, buat dipakai untuk aktifitas sehari-hari juga nggak ribet. By the way, kalian juga bisa lho dapetin berbagai macam merchandise kece dari #Generation_G disetiap event-eventnya. For more information, click & follow @_generation_g  #TheInterns 2017",20-04-18 18:41,,18.0,194.0,,,,,,https://www.instagram.com/p/BhynrlCnUwd,,GG,,theinterns,,,IG,
40591,,a.n.kurniawan,Arif Nanda Kurniawan,2690,1664,','1761630928700151736,'Coming down . . Be Shiverian on @shvr_id ground festival . . #TheInterns 2017 #Generation_G,20-04-18 18:13,,3.0,289.0,,,,,,https://www.instagram.com/p/Bhykf8Cg5e4,,GG,,theinterns,,,IG,
40592,,rizkimuliadi,Rizki Muliadi,2160,636,','1761616443605393422,'old but gold #35mm . . #theinterns 2017 #generation_g,20-04-18 17:44,,3.0,126.0,,,,,,https://www.instagram.com/p/BhyhNJvliAO,,GG,,theinterns,,,IG,
40593,,_generation_g,Generation_G,852,714,','1791188925878324122,"'Next, #TheInterns 2017 are going to explore Europe! Yes, @okkaid @gebeem @ademaunya @didityudis dan @argadranie bakal jalan-jalan ke Budapest, Hungaria! Kira-kira bakal ngapain aja ya mereka di sana? #GENERATION_G",31-05-18 12:59,,8.0,116.0,,,,,,https://www.instagram.com/p/BjblNaEl0ua,,GG,,theinterns,,,IG,
40594,,ademaunya,Ade sangir,1523,1664,','1791165010553028273,'AKU BAHAGIA.... . . . . ðŸ“¸ : @gemaazwr . . #TheInterns 2017 #GENERATION_G #lifefolkindonesia #folkindonesia #sindoro #sikunir #diengplateau #pastelcolors #traveling #BAKABASTYLE,31-05-18 12:12,,2.0,164.0,,,,,,https://www.instagram.com/p/BjbfxZMHz6x,,GG,,theinterns,,,IG,
40595,,_generation_g,Generation_G,852,714,','1790468162653106378,"'Letâ€™s get to know @ademaunya better! Punya pengalaman yang lebih absurd dari pemenang #TheInterns 2017 ini? Share ke kita, ya! #GENERATION_G",30-05-18 13:07,,9.0,198.0,,,,,,https://www.instagram.com/p/BjZBU7AlbDK,,GG,,theinterns,,,IG,
40596,,anglmaria,ANGELINA MELANIA MARIA TOEPOE,1337,587,','1787025454575453848,"'â€œIf you focus on the possible when you experience difficult situations, YOU CAN positively change your outlook, reduce your stress, and concentrate on achieving things that otherwise may not have been possible. - Catherine Pulsife - â€¢ â€¢ ðŸ“¸ @robyaldian â€¢ â€¢ #indotravellers #journey #ayodolanmalang #travelling #exploreindonesia #indonesiajuara #motorcross #TravelwithAngelinaMelania #livefolkindonesia #nature #vsco #vscocam #womantraveller #womentravel #travellingyuk #indonesia #indonesiaparadise #wonderfulindonesia #pesonaindonesia #gunungbromo #IT_JawaTimur #TheInterns 2017 #GENERATION_G",25-05-18 19:07,,10.0,230.0,,,,,,https://www.instagram.com/p/BjMyi7QjQaY,,GG,,theinterns,,,IG,
40597,,ademaunya,Ade sangir,1523,1664,','1785672950894840573,"'Aku terbuai akan warna warni saat kau akan tenggelam. maaf, aku tidak bisa menyelamatkan mu. Tenggelam mu membuat ku tenang. #sunset #sunsetntt #ntt #bukitcinta #canon #7d #sigma #labuanbajo #lifefolkindonesia #travelling #GENERATION_G #TheInterns 2017",23-05-18 22:20,,2.0,139.0,,,,,,https://www.instagram.com/p/BjH_BaDHEr9,,GG,,theinterns,,,IG,
40598,,_generation_g,Generation_G,852,714,','1780317523565199168,"'They made it to the graduation and next, Europe trip! Mau tau apa aja yang bakal #TheInterns graduates lakukan selama di sana? Kira kira, ada ide nggak apa aja yang perlu dilakukan The Interns saat euro trip? Stay tuned terus di Instagram kita ya, #GENERATION_G!",16-05-18 13:00,,6.0,360.0,,,,,,https://www.instagram.com/p/Bi09Vrrgb9A,,GG,,theinterns,,,IG,
40599,,anfikrip,@&$Â¥Â£â‚¬#%,5784,502,','1777587721886053126,'the world is a painting and i am a color  you have never seen before,12-05-18 18:36,,12.0,168.0,,,,,,https://www.instagram.com/p/BirQp1wHTMG,,GG,,theinterns,,,IG,
40600,,_generation_g,Generation_G,852,714,','1776844752428384386,"'Setelah melalui tahap seleksi, memulai kegiatan dengan brand day dan mengerjakan tugas, akhirnya perjalanan #TheInterns 2017 berakhir!  Selamat untuk para pemenang, @ademaunya @argadranie @okkaid @gebeem @didityudis!  Tunggu dulu, masih ada keseruan yang bakal datang dari The Interns, because the winners are going to explore Europe!  You all did great, The Interns! Keep living your life to the fullest.",11-05-18 18:00,,25.0,272.0,,,,,,https://www.instagram.com/p/BionuNhgsCC,,GG,,theinterns,,,IG,
40601,,rizkimuliadi,Rizki Muliadi,2160,636,','1774549544337399841,"'yup, my journey as #theinterns finally ended. Lot of stories about up and down, about laughter or even tears. Our story may end here, but memories donâ€™t. #generation_g",08-05-18 14:00,,10.0,134.0,,,,,,https://www.instagram.com/p/Bigd2iaj-Ah,,GG,,theinterns,,,IG,
40602,,mbakyuuu,Ayu AdinaðŸŒº,4521,1619,','1774089363866279551,'Swipe left untuk melihat betapa bahagianya di @_generation_g â¤ï¸ #TheInterns 2017  #Generation_G â€”,07-05-18 22:45,,5.0,228.0,,,,,,https://www.instagram.com/p/Bie1OB9DF5_,,GG,,theinterns,,,IG,
40603,,gebeem,Gempar B. Mahardika,2997,2299,','1774040754828514310,"'Waah gak bisa move on dari moment ini, susah di ungkapkan dengan kata kata. Pokoknya kalian seru banget lah gengs. Terima kasih mami @syaluna bapak @namanda_mandagie dan bapak @awidyadhana selama 6 bulan ini sudah membimbing kami dan berbagai ilmu yang di berikan ðŸ‘‹ . . #TheInterns 2017 #GENERATION_G",07-05-18 21:09,,0.0,196.0,,,,,,https://www.instagram.com/p/BieqKrQnpQG,,GG,,theinterns,,,IG,
40604,,fikriarmn,Fikri Arman,5949,1093,','1773593856694890768,'Udahan ya temenan fakenya. Bandung bandel. #THEINTERNS.,07-05-18 6:21,,7.0,133.0,,,,,,https://www.instagram.com/p/BidEjc8HTEQ,,GG,,theinterns,,,IG,
40605,,mfarrazi,Ù…Ø­Ù…Ø¯ ÙØ®Ø± Ø§Ù„Ø¯ÙŠÙ† Ø§Ù„Ø±Ø§Ø²ÙŠ,5231,2679,','1773251635251000144,'Akhir perjalanan #theinterns 2017,06-05-18 19:01,,0.0,88.0,,,,,,https://www.instagram.com/p/Bib2veYhDNQ,,GG,,theinterns,,,IG,
40606,,rayhaanakbar,,5537,1391,','1773220995600042587,'We Celebrate it! #Kupukupumalam #MbewXBongkeng #TakkanTerlupakanKawan #THEINTERNS 2017 #GENERATION_G,06-05-18 18:00,,9.0,126.0,,,,,,https://www.instagram.com/p/Bibvxm_AUpb,,GG,,theinterns,,,IG,
40607,,rayhaanakbar,,5537,1391,','1773218617387858982,"'My Best Team ever dah, tanpa kalian aku mah cuma butiran debu di bus sugeng rahayu, keep solid lur! buat mas @gebeem yang punya brebes, selamat untuk liburan ke Eropa nya, ingat teman teman mu tak butuh gantungan kunci, hehe #THEINTERNS 2017 #JOG_TEAM #GENERATION_G",06-05-18 17:55,,2.0,146.0,,,,,,https://www.instagram.com/p/BibvPAGgzwm,,GG,,theinterns,,,IG,
40608,,anfikrip,@&$Â¥Â£â‚¬#%,5784,502,','1773206253411769483,'Ini kalo pake caption bakal panjang banget. #TakkanTerhapuskan #TakkanTerlupakan #TheInterns 2017 #Generation_G,06-05-18 17:31,,16.0,191.0,,,,,,https://www.instagram.com/p/BibsbFQHByL,,GG,,theinterns,,,IG,
40609,,kintaclaresta,Kinta Claresta,3092,2518,','1773180260939838811,"'And itâ€™s a wrap, Graduation Day! Thankyouu #GENERATION_G for the last 6 months. We are #TheInterns 2017 Team Bandung, Ciao~",06-05-18 16:39,,4.0,309.0,,,,,,https://www.instagram.com/p/Bibmg14DbVb,,GG,,theinterns,,,IG,
40610,,_generation_g,Generation_G,852,714,','1789833329400859365,"'Curi gaya keren Bam Mastro yang stylish banget dalam video single nya, â€˜Idolâ€™! Thumbs up if you like this! #GENERATION_G",29-05-18 16:06,,3.0,105.0,,,,,,https://www.instagram.com/p/BjWw-4eF8rl,,GG,,generation_g,,,IG,
